DATE,TLRESCONS
2003-01-01,421328.666666666667
2003-04-01,429308.666666666667
2003-07-01,458890.000000000000
2003-10-01,491437.333333333333
2004-01-01,506856.333333333333
2004-04-01,526483.333333333333
2004-07-01,552939.000000000000
2004-10-01,561413.333333333333
2005-01-01,590790.333333333333
2005-04-01,611957.000000000000
2005-07-01,642273.666666666667
2005-10-01,670433.000000000000
2006-01-01,680067.333333333333
2006-04-01,639389.000000000000
2006-07-01,591320.666666666667
2006-10-01,558263.666666666667
2007-01-01,539003.666666666667
2007-04-01,521924.000000000000
2007-07-01,488432.333333333333
2007-10-01,439296.000000000000
2008-01-01,400027.333333333333
2008-04-01,388045.333333333333
2008-07-01,360447.666666666667
2008-10-01,319480.000000000000
2009-01-01,276721.333333333333
2009-04-01,246953.333333333333
2009-07-01,257975.000000000000
2009-10-01,263932.333333333333
2010-01-01,263516.333333333333
2010-04-01,262938.333333333333
2010-07-01,251115.333333333333
2010-10-01,248572.666666666667
2011-01-01,250635.000000000000
2011-04-01,254937.333333333333
2011-07-01,258663.333333333333
2011-10-01,256598.666666666667
2012-01-01,257335.000000000000
2012-04-01,270188.000000000000
2012-07-01,285750.000000000000
2012-10-01,302709.333333333333
2013-01-01,314411.333333333333
2013-04-01,327098.333333333333
2013-07-01,340381.000000000000
2013-10-01,358938.666666666667
2014-01-01,372124.000000000000
2014-04-01,379708.000000000000
2014-07-01,381017.333333333333
2014-10-01,398399.666666666667
2015-01-01,415744.666666666667
2015-04-01,431303.666666666667
2015-07-01,449032.333333333333
2015-10-01,455911.666666666667
2016-01-01,469130.666666666667
2016-04-01,476984.000000000000
2016-07-01,486776.333333333333
2016-10-01,511518.000000000000
2017-01-01,530008.333333333333
2017-04-01,542087.333333333333
2017-07-01,549424.333333333333
2017-10-01,561974.333333333333
2018-01-01,579931.000000000000
2018-04-01,580018.000000000000
2018-07-01,560078.333333333333
2018-10-01,537342.666666666667
2019-01-01,523324.333333333333
2019-04-01,536929.333333333333
2019-07-01,565801.000000000000
2019-10-01,585942.333333333333
2020-01-01,617768.333333333333
2020-04-01,598607.000000000000
2020-07-01,647543.000000000000
2020-10-01,713781.666666666667
2021-01-01,759608.000000000000
2021-04-01,789076.666666666667
2021-07-01,822763.666666666667
2021-10-01,864116.333333333333
2022-01-01,941060.666666666667
2022-04-01,973236.666666666667
2022-07-01,919243.666666666667
2022-10-01,875009.333333333333
2023-01-01,859978.666666666667
